company,car_model,year,kms_driven,fuel_type,transmission,owners,service_history,previous_accidents,insurance,price
hyundai,elantra,2007.0,53266.0,petrol,automatic,3.0,True,False,nan,462010.1
toyota,corolla,2005.0,126939.0,electric,automatic,2.0,False,True,nan,180959.15
mercedes,s-class,2011.0,176820.0,electric,manual,2.0,True,True,comprehensive,9293477.0
tata,altroz,2003.0,106196.0,diesel,manual,2.0,False,True,comprehensive,50000.0
honda,civic,2024.0,189674.0,electric,manual,1.0,False,False,nan,700000.0
maruti,dzire,2020.0,101590.0,petrol,automatic,2.0,False,False,comprehensive,384761.5
bmw,m3,2011.0,164361.0,diesel,automatic,2.0,True,True,comprehensive,6745345.85
bmw,x5,2003.0,137445.0,petrol,automatic,3.0,False,False,comprehensive,6879383.25
mercedes,e-class,2016.0,101852.0,diesel,manual,3.0,False,True,nan,5984722.2
toyota,innova,2009.0,66848.0,petrol,manual,1.0,False,True,comprehensive,769972.8
toyota,corolla,2012.0,139638.0,petrol,manual,3.0,False,False,comprehensive,529054.3
mercedes,e-class,2017.0,179495.0,cng,automatic,2.0,False,False,third-party,6073075.75
ford,endeavour,2019.0,147870.0,diesel,manual,1.0,False,False,third-party,2707819.5
audi,q5,2008.0,57609.0,petrol,automatic,1.0,False,False,comprehensive,5171358.65
toyota,corolla,2003.0,78149.0,petrol,automatic,2.0,False,True,nan,50000.0
bmw,3 series,2010.0,85157.0,diesel,automatic,2.0,True,True,third-party,3257226.45
mercedes,s-class,2022.0,169291.0,diesel,manual,2.0,False,False,comprehensive,9824606.35
mercedes,e-class,2015.0,161022.0,cng,automatic,2.0,False,False,comprehensive,6025846.7
ford,endeavour,2001.0,159146.0,cng,automatic,3.0,False,True,nan,1726128.1
tata,harrier,2022.0,82396.0,petrol,automatic,1.0,False,True,nan,1567640.6
ford,endeavour,2023.0,160332.0,petrol,manual,3.0,False,False,nan,2875950.2
mercedes,e-class,2000.0,24111.0,petrol,manual,1.0,False,True,third-party,5226383.35
mercedes,e-class,2017.0,140968.0,electric,manual,3.0,True,False,comprehensive,6098854.8
tata,altroz,2004.0,6251.0,electric,automatic,3.0,True,False,third-party,50000.0
toyota,corolla,2000.0,67412.0,electric,automatic,2.0,False,True,third-party,50000.0
tata,nexon,2019.0,170007.0,petrol,automatic,1.0,False,True,third-party,554498.95
nissan,terrano,2013.0,11749.0,diesel,automatic,2.0,True,False,nan,718237.65
audi,a6,2018.0,22630.0,electric,automatic,1.0,False,False,comprehensive,5176605.5
ford,ecosport,2010.0,172150.0,electric,automatic,3.0,True,False,nan,94177.5
ford,fiesta,2015.0,171759.0,diesel,automatic,2.0,False,True,comprehensive,74236.15
audi,a4,2004.0,22487.0,diesel,manual,3.0,False,False,comprehensive,3446626.95
tata,nexon,2016.0,80668.0,cng,manual,1.0,True,True,third-party,437899.8
honda,jazz,2020.0,26633.0,petrol,automatic,3.0,True,False,comprehensive,566005.05
audi,a6,2004.0,64330.0,diesel,automatic,1.0,True,True,third-party,4440350.5
hyundai,elantra,2007.0,46805.0,petrol,automatic,1.0,False,True,third-party,372979.25
mercedes,c-class,2010.0,131587.0,cng,manual,1.0,True,False,third-party,4280261.95
maruti,dzire,2004.0,118918.0,diesel,manual,1.0,False,False,third-party,50000.0
maruti,swift,2024.0,14612.0,petrol,manual,3.0,False,True,comprehensive,497808.2
